timestamp,rate,confidence,raw_digits
2026-04-22T23:22:04.472251,280,0.9998683929443359,2_8_0
2026-04-22T23:23:20.863679,282,0.9998525381088257,2_8_2
2026-04-22T23:23:22.945131,287,0.999862551689148,2_8_7
2026-04-22T23:23:25.003532,270,0.9999929666519165,2_7_0
2026-04-22T23:23:27.236516,263,0.9983304142951965,2_6_3
2026-04-22T23:23:29.447472,139,0.9993922710418701,1_3_9
2026-04-22T23:23:31.619505,124,0.9999555349349976,1_2_4
2026-04-22T23:23:33.755857,278,0.999527096748352,2_7_8
2026-04-22T23:23:35.823933,94,0.999869704246521,9_4
2026-04-22T23:23:38.019544,90,0.9998914003372192,9_0
